"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"02/07/2018","AQS","170310001","1","0.036","ppm","33","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.036"
"02/08/2018","AQS","170310001","1","0.03","ppm","28","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.03"
"02/09/2018","AQS","170310001","1","0.029","ppm","27","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.029"
"02/10/2018","AQS","170310001","1","0.031","ppm","29","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.031"
"02/11/2018","AQS","170310001","1","0.038","ppm","35","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.038"
"02/12/2018","AQS","170310001","1","0.029","ppm","27","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.029"
"02/13/2018","AQS","170310001","1","0.033","ppm","31","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.033"
"02/14/2018","AQS","170310001","1","0.025","ppm","23","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.025"
"02/15/2018","AQS","170310001","1","0.028","ppm","26","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.028"
"02/16/2018","AQS","170310001","1","0.039","ppm","36","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.039"
"02/17/2018","AQS","170310001","1","0.027","ppm","25","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.027"
"02/18/2018","AQS","170310001","1","0.035","ppm","32","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.035"
"02/19/2018","AQS","170310001","1","0.026","ppm","24","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.026"
