"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"01/08/2019","AQS","170313103","1","24","ppb","23","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","24"
"01/09/2019","AQS","170313103","1","21.8","ppb","20","IEPA TRAILER","21","88.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","21.8"
"01/10/2019","AQS","170313103","1","44","ppb","42","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","44"
"01/11/2019","AQS","170313103","1","46.7","ppb","43","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","46.7"
"01/12/2019","AQS","170313103","1","27.1","ppb","25","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","27.1"
"01/13/2019","AQS","170313103","1","29.3","ppb","27","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","29.3"
"01/14/2019","AQS","170313103","1","27","ppb","25","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","27"
"01/15/2019","AQS","170313103","1","27.6","ppb","25","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","27.6"
"01/16/2019","AQS","170313103","1","22.7","ppb","21","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","22.7"
"01/17/2019","AQS","170313103","1","33.6","ppb","31","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","33.6"
"01/18/2019","AQS","170313103","1","19.7","ppb","18","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","19.7"
"01/19/2019","AQS","170313103","1","24.9","ppb","23","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","24.9"
"01/20/2019","AQS","170313103","1","36.5","ppb","34","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","36.5"
"01/21/2019","AQS","170313103","1","45.6","ppb","42","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","45.6"
"01/22/2019","AQS","170313103","1","28.4","ppb","26","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","28.4"
"01/23/2019","AQS","170313103","1","35.7","ppb","33","IEPA TRAILER","22","92.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","35.7"
"01/24/2019","AQS","170313103","1","46.6","ppb","43","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","46.6"
"01/25/2019","AQS","170313103","1","42.2","ppb","40","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","42.2"
"01/26/2019","AQS","170313103","1","57.6","ppb","54","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","57.6"
"01/27/2019","AQS","170313103","1","40.4","ppb","38","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","40.4"
