"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"10/19/2019","AQS","170310076","1","2.2","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.2"
"10/20/2019","AQS","170310076","1","2.1","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.1"
"10/21/2019","AQS","170310076","1","2.9","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.9"
"10/22/2019","AQS","170310076","1","1.8","ppb","1","COM ED MAINTENANCE BLDG","20","83.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.8"
"10/23/2019","AQS","170310076","1","2.4","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.4"
"10/24/2019","AQS","170310076","1","2","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2"
"10/25/2019","AQS","170310076","1","2.2","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.2"
"10/26/2019","AQS","170310076","1","3","ppb","4","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","3"
"10/27/2019","AQS","170310076","1","1.7","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.7"
"10/28/2019","AQS","170310076","1","2.4","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.4"
"10/29/2019","AQS","170310076","1","1.7","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.7"
"10/30/2019","AQS","170310076","1","1.4","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.4"
"10/31/2019","AQS","170310076","1","1.3","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.3"
"11/01/2019","AQS","170310076","1","1.3","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.3"
"11/02/2019","AQS","170310076","1","1","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1"
"11/03/2019","AQS","170310076","1","1.7","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.7"
"11/04/2019","AQS","170310076","1","1.6","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.6"
"11/05/2019","AQS","170310076","1","1.9","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.9"
"11/06/2019","AQS","170310076","1","1.3","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.3"
"11/07/2019","AQS","170310076","1","1.6","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.6"
